Sample ID, Description, Type, CBDep
Empty Chamber, , Sample, On
TTgChevreUK 12, , Sample, On
TTgChevreUK 22, , Sample, On
TTgChevreUK 32, , Sample, On
TTgChevreUK 42, , Sample, On
TTgChevreUK 52, , Sample, On
TTgChevreUK 62, , Sample, On
