Sample ID, Description
Empty Chamber, 
AgVeauUK 12, 
AgVeauUK 22, 
AgVeauUK 32, 
AgVeauUK 42, 
AgVeauUK 52, 
AgVeauUK 62, 
AgVeauAl 12, 
AgVeauAl 22, 
AgVeauAl 32, 
AgVeauAl 42, 
AgChevreUK 12, 
AgChevreUK 22, 
AgChevreUK 32, 
AgChevreUK 42, 
AgChevreUK 52, 
AgChevreUK 62, 
