Sample ID, Description, Type, CBDep
Empty Chamber, , Sample, On
TDmsmeh71, , Sample, On
TTmsmeh71, , Sample, On
RTmsmeh71, , Sample, On
RDmsmeh71, , Sample, On
TDmsmeh81, , Sample, On
TTmsmeh81, , Sample, On
RTmsmeh81, , Sample, On
RDmsmeh81, , Sample, On
TDmsfkat91, , Sample, On
TTmsfkat91, , Sample, On
RTmsfkat91, , Sample, On
RDmsfkat91, , Sample, On
TDms1240111, , Sample, On
TTms1240111, , Sample, On
RTms1240111, , Sample, On
RDms1240111, , Sample, On
TDmsfkat101, , Sample, On
TTmsfkat101, , Sample, On
RTmsfkat101, , Sample, On
RDmsfkat101, , Sample, On
TDms1240121, , Sample, On
TTms1240121, , Sample, On
RTms1240121, , Sample, On
RDms1240121, , Sample, On
