Sample ID, Description
Empty Chamber, 
RTChevreUK 12, 
RTChevreUK 22, 
RTChevreUK 32, 
RTChevreUK 42, 
RTChevreUK 52, 
RTChevreUK 62, 
RTVeauUK 12, 
RTVeauUK 22, 
RTVeauUK 32, 
RTVeauUK 42, 
RTVeauUK 52, 
RTVeauUK 62, 
