Sample ID, Description, Type, CBDep
Empty Chamber, , Sample, On
RTChevreUK 12, , Sample, On
RTChevreUK 22, , Sample, On
RTChevreUK 32, , Sample, On
RTChevreUK 42, , Sample, On
RTChevreUK 52, , Sample, On
RTChevreUK 62, , Sample, On
RTVeauUK 12, , Sample, On
RTVeauUK 22, , Sample, On
RTVeauUK 32, , Sample, On
RTVeauUK 42, , Sample, On
RTVeauUK 52, , Sample, On
RTVeauUK 62, , Sample, On
