Sample ID, Description, Type, CBDep
Empty Chamber, , Sample, On
RTmshap11, , Sample, On
RDmshap11, , Sample, On
TTmshap11, , Sample, On
TDmshap11, , Sample, On
Empty Chamber 2, , Sample, On
TDmshap21, , Sample, On
TTmshap21, , Sample, On
RTmshap21, , Sample, On
RDmshap21, , Sample, On
