Sample ID, Description
Empty Chamber, 
TTgVeauUK 12, 
TTgVeauUK 22, 
TTgVeauUK 32, 
TTgVeauUK 42, 
TTgVeauUK 52, 
TTgVeauUK 62, 
TTgVeauAl 12, 
TTgVeauAl 22, 
TTgVeauAl 32, 
TTgVeauAl 42, 
TTgAgneauUK 12, 
TTgAgneauUK 22, 
TTgAgneauUK 32, 
TTgAgneauUK 42, 
TTgAgneauUK 52, 
