Sample ID, Description, Type, CBDep
Empty Chamber, , Sample, On
TTgVeauUK 12, , Sample, On
TTgVeauUK 22, , Sample, On
TTgVeauUK 32, , Sample, On
TTgVeauUK 42, , Sample, On
TTgVeauUK 52, , Sample, On
TTgVeauUK 62, , Sample, On
TTgVeauAl 12, , Sample, On
TTgVeauAl 22, , Sample, On
TTgVeauAl 32, , Sample, On
TTgVeauAl 42, , Sample, On
TTgAgneauUK 12, , Sample, On
TTgAgneauUK 22, , Sample, On
TTgAgneauUK 32, , Sample, On
TTgAgneauUK 42, , Sample, On
TTgAgneauUK 52, , Sample, On
