Sample ID, Description, Type, CBDep
Empty Chamber, , Sample, On
TTVeauUK 12, , Sample, On
TTVeauUK 22, , Sample, On
TTVeauUK 32, , Sample, On
TTVeauUK 42, , Sample, On
TTVeauUK 52, , Sample, On
TTVeauUK 62, , Sample, On
