Sample ID, Description, Type, CBDep
Empty Chamber, , Sample, On
AgAgneauUK 12, , Sample, On
AgAgneauUK 22, , Sample, On
AgAgneauUK 32, , Sample, On
AgAgneauUK 42, , Sample, On
AgAgneauUK 52, , Sample, On
