Sample ID, Description, Type, CBDep
Empty Chamber, , Sample, On
TTAgneauUK 12, , Sample, On
TTAgneauUK 22, , Sample, On
TTAgneauUK 32, , Sample, On
TTAgneauUK 42, , Sample, On
TTAgneauUK 52, , Sample, On
