Sample ID, Description
Empty Chamber, 
AVeauUK 12, 
AVeauUK 22, 
AVeauUK 32, 
AVeauUK 42, 
AVeauUK 52, 
AVeauUK 62, 
AAgneauUK 12, 
AAgneauUK 22, 
AAgneauUK 32, 
AAgneauUK 42, 
AAgneauUK 52, 
