Sample ID, Description
Empty Chamber, 
AChevreUK 12, 
AChevreUK 22, 
AChevreUK 32, 
AChevreUK 42, 
AChevreUK 52, 
AChevreUK 62, 
AVeauAl 12, 
AVeauAl 22, 
AVeauAl 32, 
AVeauAl 42, 
