Sample ID, Description, Type, CBDep
Empty Chamber, , Sample, On
AChevreUK 12, , Sample, On
AChevreUK 22, , Sample, On
AChevreUK 32, , Sample, On
AChevreUK 42, , Sample, On
AChevreUK 52, , Sample, On
AChevreUK 62, , Sample, On
AVeauAl 12, , Sample, On
AVeauAl 22, , Sample, On
AVeauAl 32, , Sample, On
AVeauAl 42, , Sample, On
