Sample ID, Description
Empty chamber, 
RTVeauAl 12, 
RTVeauAl 22, 
RTVeauAl 32, 
RTVeauAl 42, 
RTVeauAl 52, 
RTVeauAl 62, 
RTAgneauUK 12, 
RTAgneauUK 22, 
RTAgneauUK 32, 
RTAgneauUK 42, 
RTAgneauUK 52, 
RTAgneauUK 62, 
RDAgneauUK 12, 
RDAgneauUK 22, 
RDAgneauUK 32, 
RDAgneauUK 42, 
RDAgneauUK 52, 
RDAgneauUK 62, 
